EL1: Electronic Ladder,A1: Melano KF No DNAse 4,B1: Melano KF No DNAse 6,C1: Melano KF Yes DNAse 1,D1: Melano KF Yes DNAse 3,E1: Melano D No DNAse 1,F1: Melano D No DNAse 5,G1: Melano D Yes DNAse 2,H1: Melano D Yes DNAse 5
0,0.1382179,0.09235239,0.1189384,0.06069374,0,0.2852073,0.1528659,0.2627759
0.02638292,0.04930186,0.1227984,0.1485801,0.05159879,0.05310535,0.2536626,0,0.1731777
0.06229401,0,0.08668041,0.1591086,0.1581993,0.067379,0.1336856,0,0.02150536
0.04121494,0,0.07866287,0.09559679,0.2101521,0.2011633,0,0,0
0,0,0.07440233,0.1348977,0.1991229,0.24016,0,0.005797863,0
0,0,0,0.06942511,0.1825335,0.199945,0,0.058918,0
0,0,0,0.06740141,0.1440666,0.2049303,0,0.1031513,0.06519604
0,0.04291725,0.05070639,0.1647501,0.1205642,0.1382632,0.007837772,0.1518445,0.06884098
0,0,0,0.2808452,0,0.1082945,0.1355753,0.09695864,0.09533548
0,0.05453038,0.07927704,0.2529378,0,0.119143,0.261363,0.08875036,0.2462602
0,0.08676004,0.0644021,0.1776166,0,0,0.2402716,0.07708359,0.2723985
0,0.06824422,0.1373425,0.05756664,0.06327868,0,0.2462144,0.0406785,0.2156844
0,0.02707148,0.1366754,0,0.02175307,0,0.2125077,0.1048169,0.2171302
0,0,0.07464266,0,0,0,0.1749992,0.1419954,0.166759
0,0.02997136,0.1829524,0.02292442,0,0.01569891,0.2267108,0.1615386,0.1568198
0.3040228,0,0.1725206,0,0,0.03081369,0.1522121,0.1705027,0.1464825
1.405515,0.06356192,0.2535295,0.04058886,0,0,0.1866245,0.1901536,0.1583738
2.834507,0.04309893,0.230278,0.09972715,0,0,0.1252666,0.1988931,0.06455374
4.043449,0,0.1899986,0.1478224,0,0.002789021,0.1375017,0.135426,0.1488862
5.409372,0.04703879,0.1950479,0.05715084,0,0.03141499,0.04354715,0.1576319,0.2168255
7.060751,0.02972078,0.1163774,0.01777053,0,0.05595016,0.003687859,0.1236935,0.1232848
9.01142,0,0.107821,0.04859924,0.1030173,0.09619713,0,0.1675506,0.04656887
11.38547,0.001667261,0.04679441,0,0.0299921,0.01214743,0,0.1329494,0.1162682
14.12005,0,0,0,0.006108284,0.01834583,0,0.1327543,0.07036734
17.26014,0,0.04869604,0,0,0.01185703,0,0.1729193,0
20.97051,0,0.04287386,0,0,0,0,0.2424259,0.04836941
